step,node,sig,state_0,state_1,state_2,state_3,state_d,tate_D
210,4174,0.3405599255487513,215,78,49,233,370,3245
211,4185,0.3425389835307835,221,77,45,240,380,3211
212,4162,0.3384072798921624,202,79,41,234,380,3249
213,4161,0.338228192818801,216,63,58,209,382,3234
214,4150,0.3362613025956473,225,77,42,224,369,3224
215,4188,0.343079682072611,208,70,65,198,395,3214
216,4165,0.33894481880658406,225,104,48,219,356,3236
217,4193,0.34398175113699636,210,61,77,219,391,3207
218,4196,0.344523533678505,245,83,50,223,376,3216
219,4198,0.3448849468168561,216,65,61,208,407,3239
220,4216,0.3481457000868117,241,83,50,217,376,3231
221,4214,0.34778268393060136,209,91,52,228,391,3245
222,4252,0.35470983380979354,232,76,71,234,355,3246
223,4277,0.35930083668095586,243,97,55,256,388,3213
224,4308,0.3650295855015523,238,76,70,246,403,3244
225,4311,0.36558604465701106,250,98,50,260,397,3253
226,4333,0.369677637301288,253,76,66,252,417,3247
227,4339,0.37079681244205287,259,100,54,248,435,3237
228,4389,0.3801762977061111,286,70,76,222,442,3243
229,4393,0.3809306416020748,276,101,46,246,438,3282
230,4396,0.3814967770838001,254,80,69,263,423,3304
231,4410,0.3841429798029617,253,87,63,258,436,3299
232,4431,0.38812513313282504,280,88,64,247,439,3292
233,4449,0.39155036178582564,257,100,66,253,442,3313
234,4486,0.3986244185971437,280,93,77,248,438,3313
235,4507,0.4026585405246205,292,90,69,262,433,3340
236,4543,0.40960464299641547,280,98,69,260,476,3324
237,4574,0.41561516059796183,290,109,74,256,451,3363
238,4629,0.4263399355107633,286,103,82,271,466,3366
239,4644,0.4292773870746821,284,116,77,287,457,3408
240,4700,0.440286350732807,285,97,83,297,485,3397
241,4703,0.44087787749442486,299,120,63,307,467,3444
242,4738,0.44779099804685474,300,96,85,281,532,3409
243,4748,0.44977000783007265,336,86,68,303,472,3473
244,4762,0.452543280833106,272,96,65,283,541,3491
245,4754,0.45095818137198507,316,99,63,269,484,3531
246,4743,0.4487803002101601,288,82,68,256,534,3526
247,4710,0.44225875669050985,299,97,59,240,503,3545
248,4711,0.4424560985548537,285,87,68,244,501,3525
249,4725,0.44522076489278517,312,93,71,225,483,3527
250,4738,0.44779099804685474,311,95,69,242,498,3510
251,4742,0.44858240709565234,307,106,64,252,498,3511
252,4757,0.4515524787958074,304,102,72,263,501,3500
253,4776,0.4553195034468821,314,109,72,265,493,3504
254,4805,0.46107889999453455,303,103,78,267,509,3516
255,4840,0.46804361920235915,337,110,75,284,491,3508
256,4850,0.4700359482354282,275,112,74,299,529,3551
257,4879,0.47581887896082453,343,99,87,288,491,3542
258,4899,0.47981098270717487,322,104,68,312,534,3539
259,4919,0.48380566632469946,339,85,80,278,538,3579
260,4897,0.47941164784612267,314,113,64,270,554,3604
261,4908,0.4816083015084684,350,78,89,252,529,3599
262,4917,0.4834060963734808,340,103,63,269,551,3582
263,4921,0.4842052569829114,347,85,73,254,539,3619
264,4931,0.4862035030286171,312,110,65,248,551,3635
265,4928,0.4856039799915396,322,108,82,239,513,3667
266,4929,0.4858038164860481,318,82,85,254,520,3669
267,4912,0.48240726543382273,333,83,61,267,514,3671
268,4897,0.47941164784612267,295,97,59,240,558,3663
269,4910,0.48200777197103506,340,92,70,245,479,3671
270,4924,0.4848046806803953,300,95,67,246,535,3667
