step,node,sig,state_0,state_1,state_2,state_3,state_d,tate_D,DEAD,true_count
150,2395,0.11066169048677241,48,76,35,133,173,72,72,6025.0,0.479,0.03765625
151,2407,0.1116100182539475,51,60,42,128,189,72,72,6078.0,0.4814,0.0379875
152,2429,0.11336708029230613,74,45,39,123,181,71,71,6139.0,0.4858,0.03836875
153,2420,0.1126453845407773,44,66,27,126,192,82,82,6193.0,0.484,0.03870625
154,2427,0.11320635577617906,39,57,37,116,183,78,78,6253.0,0.4854,0.03908125
155,2434,0.11376976245771526,47,54,35,118,167,79,79,6315.0,0.4868,0.03946875
156,2430,0.11344751715596638,42,64,31,120,173,72,72,6368.0,0.486,0.0398
157,2437,0.1140119697447823,45,46,37,114,172,71,71,6428.0,0.4874,0.040175
158,2438,0.11409280529411439,51,50,29,115,166,60,60,6476.0,0.4876,0.040475
159,2421,0.11272537444558416,30,47,34,111,155,84,84,6532.0,0.4842,0.040825
160,2417,0.11240571210304212,46,51,25,114,159,73,73,6586.0,0.4834,0.0411625
161,2416,0.11232592031437917,38,50,33,96,170,77,77,6645.0,0.4832,0.04153125
162,2412,0.11200724773242508,32,65,35,102,153,85,85,6710.0,0.4824,0.0419375
163,2434,0.11376976245771526,43,57,39,116,161,64,64,6779.0,0.4868,0.04236875
164,2438,0.11409280529411439,45,58,36,120,163,68,68,6832.0,0.4876,0.0427
165,2443,0.11449773235958025,50,47,37,114,172,71,71,6890.0,0.4886,0.0430625
166,2445,0.11466005324769508,54,54,29,113,168,64,64,6943.0,0.489,0.04339375
167,2443,0.11449773235958025,50,44,32,109,167,68,68,6989.0,0.4886,0.04368125
168,2462,0.11604788345791621,58,40,34,111,154,62,62,7052.0,0.4924,0.044075
169,2476,0.11720173792346746,48,56,30,108,159,66,66,7115.0,0.4952,0.04446875
170,2487,0.11811530581212804,47,64,30,127,146,61,61,7167.0,0.4974,0.04479375
171,2502,0.11937101413728156,44,48,44,123,158,61,61,7230.0,0.5004,0.0451875
172,2505,0.1196235364779354,53,45,33,129,155,67,67,7279.0,0.501,0.04549375
173,2508,0.11987652029671621,47,48,27,123,167,57,57,7327.0,0.5016,0.04579375
174,2529,0.12166037331387702,43,40,33,100,164,67,67,7390.0,0.5058,0.0461875
175,2538,0.12243185725180263,44,77,28,118,133,68,68,7445.0,0.5076,0.04653125
176,2565,0.12477160163050753,42,52,41,132,156,58,58,7511.0,0.513,0.04694375
177,2579,0.1259998313676622,56,57,31,125,164,63,63,7572.0,0.5158,0.047325
178,2595,0.1274161779527384,45,58,37,116,173,62,62,7631.0,0.519,0.04769375
179,2601,0.12795080327006336,46,56,36,119,160,71,71,7693.0,0.5202,0.04808125
180,2624,0.13001795694571638,40,59,36,124,160,60,60,7755.0,0.5248,0.04846875
181,2641,0.1315640534094323,49,56,36,104,170,65,65,7824.0,0.5282,0.0489
182,2655,0.13284899775450412,57,60,32,118,156,63,63,7883.0,0.531,0.04926875
183,2673,0.13451666790503272,36,57,39,126,161,68,68,7947.0,0.5346,0.04966875
184,2681,0.13526351267276454,51,55,34,125,161,70,70,8012.0,0.5362,0.050075
185,2712,0.13819062868630883,46,56,35,125,169,55,55,8079.0,0.5424,0.05049375
186,2731,0.14001083233407544,55,63,37,127,148,71,71,8143.0,0.5462,0.05089375
187,2765,0.1433181044031285,51,64,40,131,172,60,60,8218.0,0.553,0.0513625
188,2771,0.1439084485036182,60,67,39,129,172,70,70,8277.0,0.5542,0.05173125
189,2800,0.14679033980138242,44,55,44,118,198,65,65,8348.0,0.56,0.052175
190,2801,0.14689056246448132,61,73,33,119,167,71,71,8399.0,0.5602,0.05249375
191,2828,0.1496180357696049,39,58,45,115,190,62,62,8463.0,0.5656,0.05289375
192,2829,0.14971985028666482,48,68,33,123,163,88,88,8528.0,0.5658,0.0533
193,2842,0.15104863866492618,41,68,40,118,193,67,67,8589.0,0.5684,0.05368125
194,2854,0.15228380319262896,45,57,47,119,165,82,82,8655.0,0.5708,0.05409375
195,2876,0.15456977856596438,69,55,34,134,177,64,64,8717.0,0.5752,0.05448125
196,2879,0.15488366574707096,42,64,39,116,200,84,84,8786.0,0.5758,0.0549125
197,2888,0.15582845125815833,49,74,36,119,183,76,76,8852.0,0.5776,0.055325
